,car_name,registration_year,insurance_validity,fuel_type,seats,kms_driven,ownsership,transmission,mileage(kmpl),engine(cc),torque(Nm),price(in lakhs)
157,BMW X1 sDrive20i,2018-12-01,Third Party insurance,Petrol,5,17860,First Owner,Automatic,15.71,1998.0,189.0,29.9
158,Toyota Innova Crysta 2.8 ZX AT,2020-02-01,Comprehensive,Diesel,7,52000,First Owner,Automatic,11.36,2755.0,1715.0,22.5
159,Mercedes-Benz C-Class Progressive C,2020-06-01,Comprehensive,Diesel,5,30000,First Owner,Automatic,12.6,1950.0,194.0,37.5
160,Hyundai i20 N-Line N8 DCT,2021-02-01,Comprehensive,Petrol,5,16684,First Owner,Automatic,20.25,998.0,11841.0,11.11
161,Mercedes-Benz AMG C43 4MATIC,2019-07-01,Comprehensive,Petrol,5,30000,First Owner,Automatic,2996.0,38487.0,520.0,67.0
162,Maruti Swift LXI,2012-12-01,Comprehensive,Petrol,5,92543,First Owner,Manual,1197.0,8180.0,113.0,2.74
163,Mahindra XUV700 AX7 AT Luxury Pack,2021-11-01,Comprehensive,Petrol,7,25000,First Owner,Automatic,1999.0,19713.0,380.0,24.75
164,Ford Ecosport 1.5 Diesel Titanium,2016-12-01,Comprehensive,Diesel,5,59870,First Owner,Manual,21.7,1498.0,9896.0,4.95
165,Hyundai i20 Sportz,2016-06-01,Comprehensive,Petrol,5,62700,First Owner,Manual,18.6,1197.0,8183.0,5.22
166,Kia Seltos HTX Plus AT,2019-09-01,Third Party insurance,Diesel,5,42132,First Owner,Automatic,17.8,1493.0,1134.0,14.75
167,Mercedes-Benz CLA 200 CGI,2018-07-01,Third Party insurance,Petrol,5,32000,First Owner,Automatic,15.04,1991.0,183.0,25.75
168,Maruti A-Star,2010-06-01,Comprehensive,Petrol,5,58873,First Owner,Manual,19.0,998.0,661.0,1.82
169,Renault Duster Petrol RXS,2018-11-01,Comprehensive,Petrol,5,10000,First Owner,Automatic,14.99,1498.0,1045.0,7.95
170,Tata Altroz XZ Plus,2022-09-01,Comprehensive,Petrol,5,14069,First Owner,Manual,19.33,1199.0,8683.0,8.24
171,Renault Duster RXL,2014-10-01,Third Party insurance,Diesel,5,80000,First Owner,Manual,19.01,1461.0,10845.0,2.85
172,Honda City i VTEC,2016-03-01,Comprehensive,Petrol,5,57453,First Owner,Manual,17.8,1497.0,1173.0,6.24
173,Volvo XC40 T4,2022-01-01,Zero Dep,Petrol,5,16433,First Owner,Automatic,1969.0,18740.0,300.0,43.75
174,BMW X1 sDrive20i,2018-12-01,Third Party insurance,Petrol,5,17860,First Owner,Automatic,15.71,1998.0,189.0,29.9
175,Toyota Innova Crysta 2.8 ZX AT,2020-02-01,Comprehensive,Diesel,7,52000,First Owner,Automatic,11.36,2755.0,1715.0,22.5
176,Mercedes-Benz S-Class S 350,2019-04-01,Comprehensive,Diesel,5,27200,First Owner,Automatic,13.5,2925.0,28161.0,77.0
177,Hyundai Grand i10 Asta,2014-12-01,Comprehensive,Petrol,5,25260,First Owner,Manual,18.9,1197.0,82.0,4.37
178,BMW 5 Series 520d Luxury,2019-03-01,Zero Dep,Diesel,5,21421,Second Owner,Automatic,20.37,1995.0,18774.0,45.9
179,Hyundai i10,2015-04-01,Comprehensive,Petrol,5,70215,First Owner,Manual,20.36,1197.0,789.0,3.08
180,Hyundai Alcazar Platinum (O) Diesel,2022-02-01,Comprehensive,Diesel,6,32900,First Owner,Automatic,23.8,1493.0,11398.0,20.0
181,Mercedes-Benz C-Class Progressive C,2021-08-01,Third Party insurance,Petrol,5,40045,First Owner,Automatic,11.9,1950.0,20115.0,43.9
182,Maruti A-Star,2010-01-01,Comprehensive,Petrol,5,75000,First Owner,Manual,19.0,998.0,661.0,1.68
183,Mercedes-Benz C-Class Progressive C,2019-08-01,Third Party insurance,Petrol,5,32325,First Owner,Automatic,11.9,1950.0,20115.0,44.9
184,MG Gloster Savvy,2021-11-01,Third Party insurance,Diesel,6,68000,First Owner,Automatic,12.4,1996.0,21501.0,33.0
185,Hyundai Grand i10 Nios AMT,2015-10-01,Comprehensive,Petrol,5,78501,First Owner,Automatic,20.7,1197.0,8186.0,3.94
186,Land Rover Discovery Sport Petrol SE,2018-01-01,Zero Dep,Petrol,7,46853,First Owner,Automatic,12.83,1997.0,23736.0,45.9
187,Maruti Baleno,2021-06-01,Comprehensive,Petrol,5,27114,First Owner,Manual,21.01,1197.0,8180.0,7.18
188,Hyundai Creta 1.6 VTVT AT SX,2017-03-01,Third Party insurance,Petrol,5,88000,First Owner,Automatic,13.0,1591.0,1213.0,8.65
189,Maruti Swift Dzire,2013-07-01,Comprehensive,Petrol,5,58382,First Owner,Manual,19.1,1197.0,858.0,3.54
190,Mercedes-Benz C-Class Progressive C,2020-08-01,Zero Dep,Petrol,5,32628,First Owner,Automatic,11.9,1950.0,20115.0,41.9
191,MG Gloster Savvy,2021-05-01,Comprehensive,Diesel,6,35000,First Owner,Automatic,12.4,1996.0,21501.0,36.0
192,Hyundai Grand i10,2014-12-01,Comprehensive,Petrol,5,67264,Second Owner,Manual,1197.0,82.0,114.0,3.27
193,Mercedes-Benz V-Class 2019-2022,2019-03-01,Zero Dep,Diesel,6,17000,First Owner,Automatic,16.0,1950.0,16092.0,65.0
194,Maruti Wagon R LXI,2013-08-01,Comprehensive,CNG,5,77584,Second Owner,Manual,26.6,998.0,5816.0,2.8
195,Mercedes-Benz S-Class Maybach,2016-09-01,Comprehensive,Petrol,4,50000,First Owner,Automatic,7.81,4663.0,459.0,98.5
196,Maruti Swift LXI,2013-10-01,Comprehensive,Petrol,5,71977,Second Owner,Manual,1197.0,8180.0,113.0,2.94
